obj_SA_MIP,sd_SA_MIP,t[s]_SA_MIP
278.931,0.0,529
247.946,0.0,606
225.640,0.0,560
212.604,0.0,626
310.013,0.0,515
279.000,0.0,432
255.072,0.0,410
242.035,0.0,427
332.359,0.0,376
302.217,0.0,354
279.000,0.0,330
265.917,0.0,365
345.116,0.32,444
313.582,0.43,362
291.000,0.62,330
278.193,0.0,401
357.640,0.45,437
325.250,0.97,386
303.139,0.78,343
290.754,0.88,400
366.883,2.55,412
335.827,1.37,348
315.167,0.33,298
301.843,0.49,340
376.136,2.12,382
347.421,2.07,344
327.670,0.0,302
314.168,0.0,340
385.354,1.08,316
356.983,2.23,320
335.919,0.13,318
323.154,0.0,364
388.068,0.47,303
363.047,1.97,348
343.982,0.58,304
330.684,0.0,311
